"Hora","D1","D2","D3","D4","D5","D6","D7"
0,7.39991613428381e-05,7.58965757362442e-05,7.39991613428381e-05,7.39991613428381e-05,7.02043325560259e-05,0.000100562962850524,9.86655484571175e-05
1,4.93327742285587e-05,6.26146749824015e-05,7.39991613428381e-05,6.64095037692137e-05,5.88198461955893e-05,8.53836477032747e-05,8.9178476490087e-05
2,6.83069181626198e-05,3.03586302944977e-05,3.98457022615282e-05,2.84612159010916e-05,6.83069181626198e-05,7.39991613428381e-05,6.26146749824015e-05
3,3.41534590813099e-05,4.36405310483404e-05,3.41534590813099e-05,4.36405310483404e-05,4.55379454417465e-05,3.98457022615282e-05,6.45120893758076e-05
4,4.17431166549343e-05,3.03586302944977e-05,3.98457022615282e-05,3.22560446879038e-05,3.79482878681221e-05,4.17431166549343e-05,5.88198461955893e-05
5,4.74353598351526e-05,3.79482878681221e-05,3.6050873474716e-05,2.65638015076855e-05,4.36405310483404e-05,4.17431166549343e-05,4.93327742285587e-05
6,6.45120893758076e-05,4.74353598351526e-05,3.22560446879038e-05,2.27689727208733e-05,3.79482878681221e-05,2.65638015076855e-05,4.74353598351526e-05
7,4.36405310483404e-05,6.26146749824015e-05,5.50250174087771e-05,4.36405310483404e-05,4.74353598351526e-05,3.79482878681221e-05,3.98457022615282e-05
8,4.55379454417465e-05,7.2101746949432e-05,7.58965757362442e-05,4.36405310483404e-05,4.55379454417465e-05,3.41534590813099e-05,4.36405310483404e-05
9,5.3127603015371e-05,4.93327742285587e-05,4.93327742285587e-05,5.88198461955893e-05,5.69224318021832e-05,3.03586302944977e-05,4.17431166549343e-05
10,3.98457022615282e-05,5.69224318021832e-05,5.88198461955893e-05,4.55379454417465e-05,5.3127603015371e-05,4.55379454417465e-05,2.84612159010916e-05
11,4.36405310483404e-05,3.6050873474716e-05,3.98457022615282e-05,5.3127603015371e-05,5.88198461955893e-05,6.07172605889954e-05,4.36405310483404e-05
12,7.02043325560259e-05,7.02043325560259e-05,7.77939901296503e-05,8.15888189164625e-05,7.77939901296503e-05,6.64095037692137e-05,7.39991613428381e-05
13,4.93327742285587e-05,4.17431166549343e-05,5.50250174087771e-05,3.6050873474716e-05,6.07172605889954e-05,5.12301886219649e-05,6.26146749824015e-05
14,5.50250174087771e-05,6.07172605889954e-05,4.36405310483404e-05,3.79482878681221e-05,7.2101746949432e-05,6.26146749824015e-05,7.96914045230564e-05
15,9.10758908834931e-05,6.45120893758076e-05,8.9178476490087e-05,8.72810620966809e-05,9.29733052768992e-05,8.34862333098686e-05,6.45120893758076e-05
16,7.39991613428381e-05,8.34862333098686e-05,5.88198461955893e-05,6.64095037692137e-05,0.000119537106784585,0.000106255206030742,6.83069181626198e-05
17,0.00010246037724393,8.72810620966809e-05,0.00010246037724393,0.000123331935571397,0.00013661383632524,9.48707196703053e-05,0.000100562962850524
18,0.000132819007538427,0.000125229349964803,0.000115742277997772,0.000108152620424148,0.00014610090829227,0.000115742277997772,0.00010246037724393
19,0.000134716421931833,0.000147998322685676,0.000113844863604366,0.000115742277997772,0.000166972466619737,0.00011194744921096,0.000138511250718646
20,0.000153690565865895,0.000176459538586768,0.000140408665112052,0.000144203493898864,0.00013661383632524,0.000161280223439519,0.000119537106784585
21,0.00014610090829227,0.000147998322685676,0.000130921593145021,0.000104357791637336,0.000182151781766986,0.000115742277997772,0.000161280223439519
22,0.00014610090829227,0.000140408665112052,0.000110050034817554,0.000149895737079082,0.000130921593145021,0.000119537106784585,0.000199228511307641
23,0.000129024178751615,0.000127126764358209,8.15888189164625e-05,0.000104357791637336,0.000113844863604366,0.000138511250718646,0.000147998322685676
