"Hora","D1","D2","D3","D4","D5","D6","D7"
0,0.00141736855187436,0.00135285646249855,0.00131490817463043,0.00129783144508978,0.00148377805564357,0.00140218923672711,0.00135095904810515
1,0.000738094199034975,0.000639428650577858,0.00072101746949432,0.00067737693844598,0.00079881145962397,0.00112706414968323,0.00123142194132056
2,0.000603377777103142,0.000514199300613055,0.000512301886219649,0.000588198461955893,0.000639428650577858,0.00103409084440633,0.00115173053679751
3,0.000495225156678994,0.000443994968057029,0.000419328580942749,0.000502814814252618,0.000552147588481177,0.000912656323228337,0.000914553737621743
4,0.000379482878681221,0.000371893221107597,0.000368098392320784,0.00039466219382847,0.000417431166549343,0.000688761424806416,0.0007456838566086
5,0.000379482878681221,0.000392764779435064,0.000333944933239475,0.000368098392320784,0.000432610481696592,0.000499019985465806,0.000476251012744932
6,0.000489532913498775,0.000443994968057029,0.000442097553663623,0.000461071697597684,0.000406046680188907,0.000445892382450435,0.000417431166549343
7,0.00075517092857563,0.000802606288410783,0.000863323548999778,0.000747581271002006,0.000806401117197595,0.000521788958186679,0.000538865687727334
8,0.0015539823881996,0.0012750624723689,0.00148567547003698,0.00135285646249855,0.00144203493898864,0.000931630467162398,0.000758965757362442
9,0.00188413249265226,0.00176459538586768,0.00176459538586768,0.00173803158435999,0.00180444108812921,0.00126178057161506,0.00102270635804589
10,0.00196761872596213,0.00183859454721052,0.00198279804110938,0.0019258756093072,0.0018347997184237,0.00146480391170951,0.00117260209512497
11,0.001990387698683,0.00189741439340611,0.00203972047291156,0.00175510831390065,0.00191069629415995,0.00162418672075563,0.00125039608525462
12,0.00297135094007396,0.00295617162492671,0.00288027504919047,0.00276263535679929,0.00294858196735309,0.00242679300916641,0.00197520838353576
13,0.00235848609100379,0.00232812746070929,0.00240212662205213,0.00237935764933126,0.00235089643343016,0.00197331096914235,0.00176269797147427
14,0.00261843186290043,0.00251027924247628,0.00256150943109824,0.00250838182808287,0.00264499566440811,0.00238315247811807,0.0019581316539951
15,0.00275314828483226,0.0026715594659158,0.00283663451814213,0.00271140516817732,0.00293150523781243,0.00250458699929606,0.00216115499408955
16,0.0027360715552916,0.00263740600683449,0.00272848189771798,0.00269432843863667,0.0029846328408278,0.00231864038874226,0.00213269377818846
17,0.00263930342122789,0.00274366121286523,0.00264879049319492,0.00269812326742348,0.0028916595355509,0.00246284388264112,0.00218392396681043
18,0.00253874045837737,0.00252166372883671,0.00270761033939051,0.00257668874624549,0.00264879049319492,0.00224464122739942,0.00213459119258187
19,0.00222946191225217,0.00235658867661038,0.00234140936146313,0.00229776883041479,0.00241540852280597,0.00205300237366541,0.00173044192678637
20,0.00199607994186322,0.00197141355474894,0.00199228511307641,0.00215356533651593,0.00205679720245222,0.00182151781766986,0.00172854451239296
21,0.00143634269580842,0.00150844444275785,0.00159762291924794,0.00154070048744576,0.00171336519724571,0.00140598406551392,0.00131301076023703
22,0.00116690985194475,0.0013680357776458,0.00117449950951838,0.00137562543521943,0.0013376771473513,0.00128834437312275,0.00111188483453598
23,0.000988552898964581,0.00107014171788104,0.00107203913227445,0.00109670551938873,0.00135475387689196,0.00132629266099087,0.00113275639286345
