"Hora","D1","D2","D3","D4","D5","D6","D7"
0,3.79482878681221e-06,5.69224318021832e-06,5.69224318021832e-06,3.79482878681221e-06,9.48707196703053e-06,1.89741439340611e-06,1.13844863604366e-05
1,1.89741439340611e-06,1.13844863604366e-05,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,9.48707196703053e-06,1.51793151472488e-05
2,7.58965757362442e-06,1.89741439340611e-06,3.79482878681221e-06,5.69224318021832e-06,1.89741439340611e-06,5.69224318021832e-06,1.32819007538427e-05
3,3.79482878681221e-06,0,1.89741439340611e-06,3.79482878681221e-06,0,7.58965757362442e-06,5.69224318021832e-06
4,5.69224318021832e-06,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,3.79482878681221e-06,7.58965757362442e-06,5.69224318021832e-06
5,3.79482878681221e-06,0,3.79482878681221e-06,0,1.89741439340611e-06,5.69224318021832e-06,5.69224318021832e-06
6,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,0
7,3.79482878681221e-06,1.89741439340611e-06,1.89741439340611e-06,0,1.89741439340611e-06,3.79482878681221e-06,1.89741439340611e-06
8,3.79482878681221e-06,0,7.58965757362442e-06,0,0,1.89741439340611e-06,1.89741439340611e-06
9,3.79482878681221e-06,1.89741439340611e-06,0,1.89741439340611e-06,3.79482878681221e-06,0,3.79482878681221e-06
10,0,0,7.58965757362442e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06
11,1.89741439340611e-06,3.79482878681221e-06,0,0,0,0,0
12,5.69224318021832e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,5.69224318021832e-06
13,3.79482878681221e-06,0,1.89741439340611e-06,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,0
14,1.13844863604366e-05,0,3.79482878681221e-06,3.79482878681221e-06,1.89741439340611e-06,0,3.79482878681221e-06
15,1.89741439340611e-06,0,7.58965757362442e-06,3.79482878681221e-06,3.79482878681221e-06,1.89741439340611e-06,3.79482878681221e-06
16,7.58965757362442e-06,0,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,5.69224318021832e-06,1.89741439340611e-06
17,1.89741439340611e-06,1.89741439340611e-06,3.79482878681221e-06,7.58965757362442e-06,5.69224318021832e-06,1.89741439340611e-06,1.89741439340611e-06
18,3.79482878681221e-06,1.13844863604366e-05,2.08715583274672e-05,3.79482878681221e-06,1.89741439340611e-06,0,1.89741439340611e-06
19,0,3.79482878681221e-06,1.13844863604366e-05,1.13844863604366e-05,3.79482878681221e-06,1.89741439340611e-06,3.79482878681221e-06
20,3.79482878681221e-06,9.48707196703053e-06,3.79482878681221e-06,5.69224318021832e-06,3.79482878681221e-06,1.89741439340611e-06,7.58965757362442e-06
21,9.48707196703053e-06,3.79482878681221e-06,1.32819007538427e-05,7.58965757362442e-06,3.79482878681221e-06,3.79482878681221e-06,5.69224318021832e-06
22,5.69224318021832e-06,5.69224318021832e-06,1.32819007538427e-05,5.69224318021832e-06,1.89741439340611e-06,3.79482878681221e-06,7.58965757362442e-06
23,5.69224318021832e-06,3.79482878681221e-06,9.48707196703053e-06,3.79482878681221e-06,1.89741439340611e-06,1.13844863604366e-05,1.89741439340611e-06
