"Year","Month","Crimes","YearMonth"
2012,1,41835,2012-01-01
2012,2,39179,2012-02-01
2012,3,43187,2012-03-01
2012,4,41597,2012-04-01
2012,5,44859,2012-05-01
2012,6,43189,2012-06-01
2012,7,45224,2012-07-01
2012,8,45582,2012-08-01
2012,9,42627,2012-09-01
2012,10,41919,2012-10-01
2012,11,35874,2012-11-01
2012,12,39262,2012-12-01
2013,1,39976,2013-01-01
2013,2,34803,2013-02-01
2013,3,39220,2013-03-01
2013,4,40149,2013-04-01
2013,5,42694,2013-05-01
2013,6,42072,2013-06-01
2013,7,44403,2013-07-01
2013,8,44325,2013-08-01
2013,9,43247,2013-09-01
2013,10,44414,2013-10-01
2013,11,40518,2013-11-01
2013,12,39483,2013-12-01
2014,1,39209,2014-01-01
2014,2,34509,2014-02-01
2014,3,40621,2014-03-01
2014,4,39735,2014-04-01
2014,5,44447,2014-05-01
2014,6,42957,2014-06-01
2014,7,44952,2014-07-01
2014,8,44896,2014-08-01
2014,9,42826,2014-09-01
2014,10,44036,2014-10-01
2014,11,37891,2014-11-01
2014,12,35052,2014-12-01
2015,1,34876,2015-01-01
2015,2,31178,2015-02-01
2015,3,37902,2015-03-01
2015,4,39436,2015-04-01
2015,5,42746,2015-05-01
2015,6,41440,2015-06-01
2015,7,44273,2015-07-01
2015,8,44766,2015-08-01
2015,9,41666,2015-09-01
2015,10,41407,2015-10-01
2015,11,38418,2015-11-01
2015,12,38923,2015-12-01
2016,1,37862,2016-01-01
2016,2,34524,2016-02-01
2016,3,39509,2016-03-01
2016,4,39418,2016-04-01
2016,5,41690,2016-05-01
2016,6,41511,2016-06-01
2016,7,41391,2016-07-01
2016,8,42436,2016-08-01
2016,9,39194,2016-09-01
2016,10,40419,2016-10-01
2016,11,36188,2016-11-01
2016,12,34148,2016-12-01
2017,1,37000,2017-01-01
2017,2,31770,2017-02-01
2017,3,32955,2017-03-01
